"white_id","as_white_games_count","as_white_wins","as_white_loss","as_white_draw","as_white_fav_opening_class","as_white_fav_opening_eco","as_black_games_count","as_black_wins","as_black_loss","as_black_draw","total_games_count","total_wins","total_loss","total_draw","as_white_winrate","as_black_winrate","total_winrate","last_elo","last_elo_band"
"medovich",1,1,0,0,"B","B20",0,0,0,0,1,1,0,0,1,0,1,1422,"silver"
"rico21",1,1,0,0,"D","D00",0,0,0,0,1,1,0,0,1,0,1,1569,"silver"
"jojo58",2,2,0,0,"B","B77",2,2,0,0,4,4,0,0,1,1,1,1500,"silver"
"rajuppi",12,9,1,2,"A","A21",0,0,0,0,12,9,1,2,0.75,0,0.75,2454,"master"
"white_queen_1990",1,0,0,1,"B","B70",0,0,0,0,1,0,0,1,0,0,0,1207,"bronze"
"milestretch",1,0,1,0,"B","B23",0,0,0,0,1,0,1,0,0,0,0,1241,"bronze"
"stephen789",2,1,1,0,"B","B21",0,0,0,0,2,1,1,0,0.5,0,0.5,1500,"silver"
"hmbrgr",1,1,0,0,"B","B21",0,0,0,0,1,1,0,0,1,0,1,1500,"silver"
"jjwrchess",1,1,0,0,"B","B20",1,1,0,0,2,2,0,0,1,1,1,1500,"silver"
"adnanraj",1,1,0,0,"B","B20",0,0,0,0,1,1,0,0,1,0,1,1343,"bronze"
"lucasimeon",2,1,1,0,"C","C21",1,0,1,0,3,1,2,0,0.5,0,0.33333333,1500,"silver"
"wing175",1,1,0,0,"A","A04",0,0,0,0,1,1,0,0,1,0,1,1521,"silver"
"caramiecho72",1,1,0,0,"B","B23",0,0,0,0,1,1,0,0,1,0,1,1407,"silver"
"mazyaraghgmail",1,1,0,0,"C","C26",1,1,0,0,2,2,0,0,1,1,1,1492,"silver"
"anrk",1,0,1,0,"C","C41",0,0,0,0,1,0,1,0,0,0,0,1414,"silver"
"wpc96",1,0,1,0,"C","C44",3,1,2,0,4,1,3,0,0,0.33333333,0.25,1458,"silver"
"acahn",2,2,0,0,"C","C41",0,0,0,0,2,2,0,0,1,0,1,1525,"silver"
"iskendermyucel",2,0,2,0,"C","C00",0,0,0,0,2,0,2,0,0,0,0,1207,"bronze"
"oldpaths",21,13,8,0,"D","D00",17,8,9,0,38,21,17,0,0.61904762,0.47058824,0.55263158,1579,"silver"
"jordanfury",1,1,0,0,"E","E10",0,0,0,0,1,1,0,0,1,0,1,1939,"platinum"
"porquepepe",1,0,1,0,"C","C00",0,0,0,0,1,0,1,0,0,0,0,1618,"gold"
"gio1212",1,1,0,0,"A","A04",0,0,0,0,1,1,0,0,1,0,1,1755,"gold"
"berejokserg",1,0,1,0,"C","C00",0,0,0,0,1,0,1,0,0,0,0,1500,"silver"
"chesschumpchamp",1,1,0,0,"A","A45",0,0,0,0,1,1,0,0,1,0,1,1617,"gold"
"aminox",1,0,1,0,"C","C02",0,0,0,0,1,0,1,0,0,0,0,1207,"bronze"
"redar1",1,1,0,0,"C","C01",0,0,0,0,1,1,0,0,1,0,1,1855,"platinum"
"tb-123",1,1,0,0,"C","C00",1,0,1,0,2,1,1,0,1,0,0.5,1728,"gold"
"zoro55",1,0,1,0,"C","C00",0,0,0,0,1,0,1,0,0,0,0,1768,"gold"
"serai",1,1,0,0,"A","A10",0,0,0,0,1,1,0,0,1,0,1,1521,"silver"
"allahdeweswin",1,0,1,0,"A","A00",0,0,0,0,1,0,1,0,0,0,0,1251,"bronze"
"euler_jr",1,1,0,0,"C","C18",1,1,0,0,2,2,0,0,1,1,1,1602,"gold"
"hoanghieudro2",1,0,1,0,"C","C00",1,0,1,0,2,0,2,0,0,0,0,1409,"silver"
"ehabhaddad",1,1,0,0,"C","C00",0,0,0,0,1,1,0,0,1,0,1,1603,"gold"
"amary33",1,0,1,0,"A","A47",0,0,0,0,1,0,1,0,0,0,0,1134,"wood"
"lotfibma",1,1,0,0,"C","C50",0,0,0,0,1,1,0,0,1,0,1,1500,"silver"
"avelez8",8,4,3,1,"D","D06",6,2,4,0,14,6,7,1,0.5,0.33333333,0.42857143,1745,"gold"
"salah04",1,1,0,0,"C","C10",0,0,0,0,1,1,0,0,1,0,1,1942,"platinum"
"majid_alsalhi",2,1,0,1,"C","C02",0,0,0,0,2,1,0,1,0.5,0,0.5,1777,"gold"
"hopefullman15",1,0,1,0,"C","C00",0,0,0,0,1,0,1,0,0,0,0,1597,"silver"
"laeca53",1,1,0,0,"C","C10",1,1,0,0,2,2,0,0,1,1,1,1924,"platinum"
"totoymate",1,1,0,0,"D","D30",0,0,0,0,1,1,0,0,1,0,1,1721,"gold"
"jdalcheco",1,0,1,0,"C","C02",0,0,0,0,1,0,1,0,0,0,0,1744,"gold"
"cdvh",5,3,2,0,"D","D02",5,4,1,0,10,7,3,0,0.6,0.8,0.7,1795,"gold"
"hafedfree",1,1,0,0,"D","D31",0,0,0,0,1,1,0,0,1,0,1,1729,"gold"
"decem",1,0,1,0,"C","C64",0,0,0,0,1,0,1,0,0,0,0,1795,"gold"
"ashishbarda",1,0,1,0,"C","C64",2,1,1,0,3,1,2,0,0,0.5,0.33333333,1894,"platinum"
"omid163",2,0,2,0,"C","C24",1,0,1,0,3,0,3,0,0,0,0,1882,"platinum"
"chess-brahs",17,6,2,9,"A","A04",4,4,0,0,21,10,2,9,0.35294118,1,0.47619048,1950,"platinum"
"mosheaugustyn",1,0,1,0,"B","B00",0,0,0,0,1,0,1,0,0,0,0,1244,"bronze"
"sassou",15,6,8,1,"C","C57",18,8,9,1,33,14,17,2,0.4,0.44444444,0.42424242,1215,"bronze"
"fatmat",1,0,1,0,"B","B03",0,0,0,0,1,0,1,0,0,0,0,1350,"bronze"
"sabayossi",1,1,0,0,"B","B02",0,0,0,0,1,1,0,0,1,0,1,1433,"silver"
"laeufer26",1,0,1,0,"B","B02",0,0,0,0,1,0,1,0,0,0,0,1228,"bronze"
"mdaboczi",1,1,0,0,"D","D00",0,0,0,0,1,1,0,0,1,0,1,1338,"bronze"
"rougethunder",1,1,0,0,"A","A20",0,0,0,0,1,1,0,0,1,0,1,1316,"bronze"
"maninayebi",1,0,1,0,"E","E20",0,0,0,0,1,0,1,0,0,0,0,1335,"bronze"
"pune123",1,0,1,0,"B","B02",0,0,0,0,1,0,1,0,0,0,0,1443,"silver"
"failedocean",1,1,0,0,"D","D06",0,0,0,0,1,1,0,0,1,0,1,1227,"bronze"
"fastandbulbous420",1,1,0,0,"C","C50",0,0,0,0,1,1,0,0,1,0,1,1227,"bronze"
"minimouf",2,1,1,0,"E","E11",0,0,0,0,2,1,1,0,0.5,0,0.5,1550,"silver"
"goodolddaystr",1,1,0,0,"B","B02",0,0,0,0,1,1,0,0,1,0,1,1325,"bronze"
"gonzalogp98",1,0,1,0,"B","B02",0,0,0,0,1,0,1,0,0,0,0,1212,"bronze"
"gotochess",1,1,0,0,"C","C11",0,0,0,0,1,1,0,0,1,0,1,1191,"wood"
"quent0",1,0,1,0,"B","B02",0,0,0,0,1,0,1,0,0,0,0,1422,"silver"
"dangerflaps",1,1,0,0,"C","C28",0,0,0,0,1,1,0,0,1,0,1,1186,"wood"
"japonxino",1,1,0,0,"A","A46",0,0,0,0,1,1,0,0,1,0,1,1865,"platinum"
"isachess",19,8,9,2,"C","C55",19,10,9,0,38,18,18,2,0.42105263,0.52631579,0.47368421,1862,"platinum"
"cliff_walker",2,1,1,0,"A","A56",0,0,0,0,2,1,1,0,0.5,0,0.5,1833,"platinum"
"juncinmestrella",25,11,13,1,"C","C55",25,15,8,2,50,26,21,3,0.44,0.6,0.52,1787,"gold"
"tohaimr7",1,0,1,0,"B","B50",1,0,1,0,2,0,2,0,0,0,0,1860,"platinum"
"zpectral-chess",1,1,0,0,"B","B51",0,0,0,0,1,1,0,0,1,0,1,1828,"platinum"
"javier_temperley",1,1,0,0,"E","E00",0,0,0,0,1,1,0,0,1,0,1,1855,"platinum"
"jadesummer",1,1,0,0,"B","B50",1,0,1,0,2,1,1,0,1,0,0.5,1885,"platinum"
"demetrio50",1,0,1,0,"B","B22",1,0,1,0,2,0,2,0,0,0,0,1840,"platinum"
"azcatdave",1,0,1,0,"A","A45",0,0,0,0,1,0,1,0,0,0,0,1854,"platinum"
"fikr",3,2,1,0,"B","B50",0,0,0,0,3,2,1,0,0.66666667,0,0.66666667,1901,"platinum"
"nf3isstrong",1,0,1,0,"B","B18",0,0,0,0,1,0,1,0,0,0,0,1835,"platinum"
"edil1800",1,1,0,0,"B","B90",0,0,0,0,1,1,0,0,1,0,1,1849,"platinum"
"humb",2,0,1,1,"E","E10",1,0,1,0,3,0,2,1,0,0,0,1835,"platinum"
"seetripuu",1,0,1,0,"B","B30",0,0,0,0,1,0,1,0,0,0,0,1834,"platinum"
"seif22",1,1,0,0,"B","B10",1,1,0,0,2,2,0,0,1,1,1,1839,"platinum"
"nespil",1,0,1,0,"B","B30",1,0,1,0,2,0,2,0,0,0,0,1795,"gold"
"sergeylobanov",1,0,1,0,"B","B22",0,0,0,0,1,0,1,0,0,0,0,1843,"platinum"
"clown_with_a_knife",1,0,1,0,"B","B20",0,0,0,0,1,0,1,0,0,0,0,1800,"gold"
"taranga",24,11,12,1,"C","C41",25,12,13,0,49,23,25,1,0.45833333,0.48,0.46938776,1307,"bronze"
"phileasfrog",1,0,1,0,"A","A00",0,0,0,0,1,0,1,0,0,0,0,1290,"bronze"
"patrizio67",1,1,0,0,"D","D00",0,0,0,0,1,1,0,0,1,0,1,1331,"bronze"
"piroz_xucestih",1,1,0,0,"A","A00",1,1,0,0,2,2,0,0,1,1,1,1304,"bronze"
"lelik3310",1,1,0,0,"C","C22",0,0,0,0,1,1,0,0,1,0,1,1308,"bronze"
"cesar1945",2,1,1,0,"C","C54",0,0,0,0,2,1,1,0,0.5,0,0.5,1296,"bronze"
"marmoraka5",1,0,1,0,"C","C50",0,0,0,0,1,0,1,0,0,0,0,968,"wood"
"xapoh",1,1,0,0,"C","C68",0,0,0,0,1,1,0,0,1,0,1,1500,"silver"
"blassterkal",2,1,1,0,"C","C22",0,0,0,0,2,1,1,0,0.5,0,0.5,1431,"silver"
"striker123",2,1,1,0,"C","C45",0,0,0,0,2,1,1,0,0.5,0,0.5,1806,"platinum"
"moon50",2,1,1,0,"C","C70",4,2,1,1,6,3,2,1,0.5,0.5,0.5,1409,"silver"
"italiantranslator",1,0,1,0,"A","A00",1,0,1,0,2,0,2,0,0,0,0,1211,"bronze"
"trotil45",1,0,1,0,"D","D02",2,2,0,0,3,2,1,0,0,1,0.66666667,1560,"silver"
"hallowdance",1,1,0,0,"C","C68",0,0,0,0,1,1,0,0,1,0,1,1232,"bronze"
"harrygz",1,1,0,0,"A","A22",0,0,0,0,1,1,0,0,1,0,1,1590,"silver"
"rinoooo",1,0,0,1,"C","C50",0,0,0,0,1,0,0,1,0,0,0,1568,"silver"
"dbschultz",1,1,0,0,"C","C46",2,0,1,1,3,1,1,1,1,0,0.33333333,1600,"silver"
"thegrim123321",17,10,6,1,"C","C41",11,4,7,0,28,14,13,1,0.58823529,0.36363636,0.5,1384,"bronze"
"kingestee33",2,2,0,0,"C","C20",0,0,0,0,2,2,0,0,1,0,1,1375,"bronze"
"deragon63",1,0,1,0,"B","B07",0,0,0,0,1,0,1,0,0,0,0,1261,"bronze"
"piechess97",1,1,0,0,"C","C77",0,0,0,0,1,1,0,0,1,0,1,1290,"bronze"
"thekingdomcome",1,1,0,0,"A","A00",1,1,0,0,2,2,0,0,1,1,1,1361,"bronze"
"rookreversal",1,1,0,0,"A","A22",1,0,1,0,2,1,1,0,1,0,0.5,1215,"bronze"
"arrigo",1,0,1,0,"B","B01",0,0,0,0,1,0,1,0,0,0,0,1474,"silver"
"morficle",2,2,0,0,"C","C44",0,0,0,0,2,2,0,0,1,0,1,1849,"platinum"
"annael88",1,0,1,0,"C","C50",0,0,0,0,1,0,1,0,0,0,0,1395,"bronze"
"andre94",1,1,0,0,"C","C21",0,0,0,0,1,1,0,0,1,0,1,1311,"bronze"
"lanas2007",2,2,0,0,"C","C64",3,2,1,0,5,4,1,0,1,0.66666667,0.8,1714,"gold"
"shivcool",1,0,1,0,"D","D20",0,0,0,0,1,0,1,0,0,0,0,1245,"bronze"
"eideral",6,5,1,0,"B","A10",9,6,2,1,15,11,3,1,0.83333333,0.66666667,0.73333333,1580,"silver"
"krishubhi",1,0,1,0,"B","B40",1,0,1,0,2,0,2,0,0,0,0,1555,"silver"
"myalcin64",2,1,1,0,"C","C02",0,0,0,0,2,1,1,0,0.5,0,0.5,1649,"gold"
"tutubelezza",5,1,4,0,"C","C41",0,0,0,0,5,1,4,0,0.2,0,0.2,1426,"silver"
"maumau62",2,1,1,0,"A","A02",3,0,3,0,5,1,4,0,0.5,0,0.2,1607,"gold"
"au118",1,1,0,0,"C","C58",0,0,0,0,1,1,0,0,1,0,1,1535,"silver"
"abel4865",1,0,1,0,"A","A00",1,0,1,0,2,0,2,0,0,0,0,1713,"gold"
"tca1004",2,1,1,0,"C","C50",0,0,0,0,2,1,1,0,0.5,0,0.5,1471,"silver"
"pkgirpade",1,0,0,1,"A","A03",0,0,0,0,1,0,0,1,0,0,0,1516,"silver"
"pablocas",1,0,1,0,"C","C55",0,0,0,0,1,0,1,0,0,0,0,1355,"bronze"
"tabellaria",7,6,1,0,"B","C55",7,6,1,0,14,12,2,0,0.85714286,0.85714286,0.85714286,1638,"gold"
"f2f",1,0,1,0,"D","D03",0,0,0,0,1,0,1,0,0,0,0,1865,"platinum"
"playforpleasure",1,0,1,0,"D","D00",0,0,0,0,1,0,1,0,0,0,0,1776,"gold"
"mattieuw2",1,0,1,0,"B","B01",1,0,1,0,2,0,2,0,0,0,0,1605,"gold"
"sombragris",1,1,0,0,"D","D31",0,0,0,0,1,1,0,0,1,0,1,1728,"gold"
"jabar72",1,0,1,0,"D","D30",1,1,0,0,2,1,1,0,0,1,0.5,1511,"silver"
"little---a",2,0,2,0,"C","C69",1,0,1,0,3,0,3,0,0,0,0,1464,"silver"
"pasch0s",2,1,1,0,"C","C50",2,2,0,0,4,3,1,0,0.5,1,0.75,1490,"silver"
"nadanadora",6,4,1,1,"D","D41",5,4,1,0,11,8,2,1,0.66666667,0.8,0.72727273,1611,"gold"
"vpull9",1,0,1,0,"A","A31",0,0,0,0,1,0,1,0,0,0,0,1584,"silver"
"ramzaid",1,0,1,0,"A","A00",0,0,0,0,1,0,1,0,0,0,0,1942,"platinum"
"mejjes",1,0,1,0,"C","C46",0,0,0,0,1,0,1,0,0,0,0,1217,"bronze"
"googol100",1,0,1,0,"C","C44",2,0,2,0,3,0,3,0,0,0,0,1486,"silver"
"corvusossifragus",1,1,0,0,"C","C00",0,0,0,0,1,1,0,0,1,0,1,1532,"silver"
"doom12384",6,3,3,0,"A","A02",11,5,5,1,17,8,8,1,0.5,0.45454545,0.47058824,1560,"silver"
"quarks_sparks",1,1,0,0,"C","C46",0,0,0,0,1,1,0,0,1,0,1,1531,"silver"
"lagos16",1,0,0,1,"C","C48",0,0,0,0,1,0,0,1,0,0,0,1449,"silver"
"pepe100",1,1,0,0,"C","C34",0,0,0,0,1,1,0,0,1,0,1,1743,"gold"
"runmael",1,1,0,0,"C","C48",0,0,0,0,1,1,0,0,1,0,1,1604,"gold"
"nitegazer",1,0,1,0,"D","D00",0,0,0,0,1,0,1,0,0,0,0,1550,"silver"
"pipppone",1,0,1,0,"C","C42",0,0,0,0,1,0,1,0,0,0,0,1630,"gold"
"dimalesh",2,0,2,0,"A","A00",1,0,1,0,3,0,3,0,0,0,0,1475,"silver"
"augustbecarre",1,1,0,0,"C","C42",1,1,0,0,2,2,0,0,1,1,1,1609,"gold"
"jejeh",2,2,0,0,"C","C47",2,1,1,0,4,3,1,0,1,0.5,0.75,1500,"silver"
"raavi",1,0,1,0,"C","C42",1,1,0,0,2,1,1,0,0,1,0.5,1513,"silver"
"ernestillo",1,1,0,0,"A","A00",1,1,0,0,2,2,0,0,1,1,1,1792,"gold"
"bwalmer",2,2,0,0,"B","B24",3,1,2,0,5,3,2,0,1,0.33333333,0.6,1864,"platinum"
"atilioss",2,0,2,0,"A","A45",1,0,1,0,3,0,3,0,0,0,0,1496,"silver"
"spendius",1,1,0,0,"B","B11",0,0,0,0,1,1,0,0,1,0,1,1861,"platinum"
"tfeng",19,10,7,2,"C","C50",21,10,10,1,40,20,17,3,0.52631579,0.47619048,0.5,1618,"gold"
"wahana81",1,0,1,0,"A","A00",1,0,0,1,2,0,1,1,0,0,0,1620,"gold"
"thesmallbang",1,0,1,0,"C","C60",1,1,0,0,2,1,1,0,0,1,0.5,1623,"gold"
"famiss11",1,1,0,0,"C","C50",0,0,0,0,1,1,0,0,1,0,1,1605,"gold"
"bishopkerry01",1,0,0,1,"E","E61",1,1,0,0,2,1,0,1,0,1,0.5,1693,"gold"
"vineetg101",3,1,2,0,"B","B02",1,0,1,0,4,1,3,0,0.33333333,0,0.25,1636,"gold"
"facurezzo",1,1,0,0,"C","C23",1,1,0,0,2,2,0,0,1,1,1,1480,"silver"
"toniors",1,1,0,0,"C","C44",0,0,0,0,1,1,0,0,1,0,1,1687,"gold"
"locomotora",1,0,1,0,"C","C60",1,0,1,0,2,0,2,0,0,0,0,1414,"silver"
"ewama",1,1,0,0,"C","C23",1,1,0,0,2,2,0,0,1,1,1,1649,"gold"
"marcospe1964",1,0,1,0,"A","A00",0,0,0,0,1,0,1,0,0,0,0,1677,"gold"
"fox22634",1,1,0,0,"C","C45",0,0,0,0,1,1,0,0,1,0,1,1705,"gold"
"micmeta",1,0,1,0,"C","C34",0,0,0,0,1,0,1,0,0,0,0,1602,"gold"
"shafer24",1,0,1,0,"C","C23",0,0,0,0,1,0,1,0,0,0,0,1634,"gold"
"ironboy",1,0,1,0,"C","C50",1,0,1,0,2,0,2,0,0,0,0,1611,"gold"
"hetismogelijk",1,1,0,0,"A","A05",0,0,0,0,1,1,0,0,1,0,1,1995,"platinum"
"bomardan",1,0,1,0,"D","D92",0,0,0,0,1,0,1,0,0,0,0,1589,"silver"
"eyany",1,1,0,0,"A","A45",1,0,1,0,2,1,1,0,1,0,0.5,1546,"silver"
"dandisd",1,1,0,0,"B","B21",0,0,0,0,1,1,0,0,1,0,1,1550,"silver"
"yalicapkini",1,1,0,0,"C","C45",0,0,0,0,1,1,0,0,1,0,1,1840,"platinum"
"guber1962",1,0,1,0,"A","A49",1,1,0,0,2,1,1,0,0,1,0.5,1660,"gold"
"tarekjrd",1,1,0,0,"E","E10",0,0,0,0,1,1,0,0,1,0,1,1789,"gold"
"rajapirka",1,0,1,0,"C","C22",2,1,1,0,3,1,2,0,0,0.5,0.33333333,1841,"platinum"
"tienc12345",2,1,0,1,"A","A04",3,3,0,0,5,4,0,1,0.5,1,0.8,1921,"platinum"
"albinas",1,0,1,0,"D","D00",0,0,0,0,1,0,1,0,0,0,0,1629,"gold"
"valmasia3",4,3,1,0,"C","C34",0,0,0,0,4,3,1,0,0.75,0,0.75,1860,"platinum"
"joselito-carnaval",1,0,1,0,"B","B90",0,0,0,0,1,0,1,0,0,0,0,1780,"gold"
"rustam9",14,1,11,2,"D","D02",8,2,5,1,22,3,16,3,0.07142857,0.25,0.13636364,966,"wood"
"halma",2,0,2,0,"A","A01",0,0,0,0,2,0,2,0,0,0,0,884,"wood"
"cris865",1,1,0,0,"A","A00",0,0,0,0,1,1,0,0,1,0,1,1238,"bronze"
"bilabrin",1,1,0,0,"B","B00",0,0,0,0,1,1,0,0,1,0,1,1107,"wood"
"raza00",1,1,0,0,"C","C21",0,0,0,0,1,1,0,0,1,0,1,1203,"bronze"
"gabriel_ml",1,0,1,0,"C","C44",0,0,0,0,1,0,1,0,0,0,0,998,"wood"
"gus247",1,1,0,0,"C","C20",0,0,0,0,1,1,0,0,1,0,1,1127,"wood"
"ck666",1,0,0,1,"D","D00",1,1,0,0,2,1,0,1,0,1,0.5,1071,"wood"
"sergeares",1,1,0,0,"C","C40",0,0,0,0,1,1,0,0,1,0,1,1337,"bronze"
"olaih85",1,1,0,0,"C","C41",0,0,0,0,1,1,0,0,1,0,1,1500,"silver"
"spikyturtle",5,1,4,0,"A","A00",4,1,3,0,9,2,7,0,0.2,0.25,0.22222222,1367,"bronze"
"lodowy",1,1,0,0,"B","B00",0,0,0,0,1,1,0,0,1,0,1,1590,"silver"
"master22ar",1,0,1,0,"C","C88",1,1,0,0,2,1,1,0,0,1,0.5,1543,"silver"
"rfabian",5,3,2,0,"B","B00",3,2,1,0,8,5,3,0,0.6,0.66666667,0.625,1421,"silver"
"senormontypants",1,0,1,0,"C","C00",0,0,0,0,1,0,1,0,0,0,0,1500,"silver"
"pllm",1,1,0,0,"C","C01",0,0,0,0,1,1,0,0,1,0,1,1382,"bronze"
"ahmedham",1,0,1,0,"C","C00",1,0,1,0,2,0,2,0,0,0,0,1320,"bronze"
"jutton1",3,3,0,0,"D","A46",6,4,2,0,9,7,2,0,1,0.66666667,0.77777778,1395,"bronze"
"agabek1948",1,0,1,0,"C","C02",0,0,0,0,1,0,1,0,0,0,0,1469,"silver"
"deekay17",2,1,1,0,"A","A00",1,0,1,0,3,1,2,0,0.5,0,0.33333333,959,"wood"
"cagliostro97",3,2,0,1,"C","C50",3,1,2,0,6,3,2,1,0.66666667,0.33333333,0.5,1588,"silver"
"putin55",1,1,0,0,"A","A01",1,0,1,0,2,1,1,0,1,0,0.5,1569,"silver"
"qc-patzer",1,0,1,0,"C","C03",0,0,0,0,1,0,1,0,0,0,0,1563,"silver"
"robbm",1,1,0,0,"E","E20",0,0,0,0,1,1,0,0,1,0,1,1903,"platinum"
"andrea78",1,1,0,0,"B","B13",0,0,0,0,1,1,0,0,1,0,1,1612,"gold"
"sumipcg",1,1,0,0,"B","B00",1,0,1,0,2,1,1,0,1,0,0.5,1327,"bronze"
"jonikss",1,1,0,0,"B","B12",0,0,0,0,1,1,0,0,1,0,1,1245,"bronze"
"rolando6",2,1,1,0,"C","C40",0,0,0,0,2,1,1,0,0.5,0,0.5,1921,"platinum"
"mahdifoladi",1,1,0,0,"A","A00",0,0,0,0,1,1,0,0,1,0,1,1462,"silver"
"energique",2,2,0,0,"C","C33",5,1,4,0,7,3,4,0,1,0.2,0.42857143,1450,"silver"
"adcz",2,0,2,0,"C","C55",0,0,0,0,2,0,2,0,0,0,0,1728,"gold"
"gardydlshad",1,1,0,0,"B","B02",1,0,1,0,2,1,1,0,1,0,0.5,1492,"silver"
"sergipechess",1,1,0,0,"B","B02",2,2,0,0,3,3,0,0,1,1,1,1867,"platinum"
"kyanh",15,5,7,3,"A","D00",18,8,8,2,33,13,15,5,0.33333333,0.44444444,0.39393939,1563,"silver"
"erhancn",1,1,0,0,"B","B03",0,0,0,0,1,1,0,0,1,0,1,1562,"silver"
"hilarious2022",1,1,0,0,"B","B10",0,0,0,0,1,1,0,0,1,0,1,1353,"bronze"
"ahmadsan",1,0,1,0,"B","B02",0,0,0,0,1,0,1,0,0,0,0,1560,"silver"
"petrinja1",1,0,1,0,"B","B01",0,0,0,0,1,0,1,0,0,0,0,1727,"gold"
"luckynrone",1,0,1,0,"C","C11",0,0,0,0,1,0,1,0,0,0,0,1877,"platinum"
"sadecebeyaz",3,1,2,0,"B","B01",0,0,0,0,3,1,2,0,0.33333333,0,0.33333333,1590,"silver"
"samba_rei",1,1,0,0,"A","A80",0,0,0,0,1,1,0,0,1,0,1,1653,"gold"
"manikandan_25",1,0,1,0,"B","B01",0,0,0,0,1,0,1,0,0,0,0,1675,"gold"
"nandito_messi",2,1,1,0,"B","B01",1,0,1,0,3,1,2,0,0.5,0,0.33333333,1570,"silver"
"marianocharly",1,0,0,1,"B","B01",0,0,0,0,1,0,0,1,0,0,0,1641,"gold"
"martinlutherking",3,1,2,0,"B","B01",2,0,2,0,5,1,4,0,0.33333333,0,0.2,1463,"silver"
"mat-chess",1,1,0,0,"A","A11",0,0,0,0,1,1,0,0,1,0,1,1919,"platinum"
"gucanni",1,1,0,0,"D","D02",0,0,0,0,1,1,0,0,1,0,1,1586,"silver"
"nickm3",1,1,0,0,"B","B03",1,0,1,0,2,1,1,0,1,0,0.5,1548,"silver"
"jgan91",1,0,1,0,"B","B05",0,0,0,0,1,0,1,0,0,0,0,1509,"silver"
"jobwoge",1,0,0,1,"B","B01",0,0,0,0,1,0,0,1,0,0,0,1356,"bronze"
"bud4la",2,1,1,0,"C","C00",1,0,1,0,3,1,2,0,0.5,0,0.33333333,1529,"silver"
"fischerdipper",22,9,11,2,"A","B53",22,12,9,1,44,21,20,3,0.40909091,0.54545455,0.47727273,1631,"gold"
"puppoo1981",1,1,0,0,"C","C00",0,0,0,0,1,1,0,0,1,0,1,1568,"silver"
"george_35",1,0,1,0,"C","C00",1,0,1,0,2,0,2,0,0,0,0,1354,"bronze"
"koepkos",1,1,0,0,"B","B06",1,1,0,0,2,2,0,0,1,1,1,1667,"gold"
"aloe78",1,0,0,1,"A","A40",1,1,0,0,2,1,0,1,0,1,0.5,1596,"silver"
"adhen",2,1,1,0,"A","A10",2,2,0,0,4,3,1,0,0.5,1,0.75,1769,"gold"
"diazbrothers",2,1,1,0,"C","C00",0,0,0,0,2,1,1,0,0.5,0,0.5,1582,"silver"
"ffuentes90",1,0,1,0,"C","C00",1,0,1,0,2,0,2,0,0,0,0,1676,"gold"
"coco31",3,0,3,0,"A","A00",3,0,2,1,6,0,5,1,0,0,0,1142,"wood"
"golden06",1,0,1,0,"C","C00",1,1,0,0,2,1,1,0,0,1,0.5,1493,"silver"
